gid_0,country,gid_1,internet_women,internet_men,internet_fm_ratio,mobile_women,mobile_men,mobile_fm_ratio,internet_women_national,internet_men_national,internet_fm_ratio_national,mobile_women_national,mobile_men_national,mobile_fm_ratio_national
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.7_1,0.10181,0.36365,0.18435000000000001,0.4434,0.74596,0.37533,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.8_1,0.17062,0.41788,0.23079,0.49408,0.80727,0.40105,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
AFG,Afghanistan,AFG.9_1,0.094851,0.34315,0.1339,0.38938,0.73588,0.32848,0.17345,0.41991,0.20636,0.45474,0.78497,0.36594
